gene,number_of_tissues
ENSMUSG00000005886,91
ENSMUSG00000005891,5
ENSMUSG00000005892,12
ENSMUSG00000005893,91
ENSMUSG00000005897,90
ENSMUSG00000005899,91
ENSMUSG00000005907,91
ENSMUSG00000005917,25
ENSMUSG00000005936,91
ENSMUSG00000005947,23
ENSMUSG00000005949,91
ENSMUSG00000005950,22
ENSMUSG00000005951,90
ENSMUSG00000005958,77
ENSMUSG00000005968,20
ENSMUSG00000005973,90
ENSMUSG00000005980,12
ENSMUSG00000005981,91
ENSMUSG00000005983,87
ENSMUSG00000005986,75
ENSMUSG00000005994,5
ENSMUSG00000006005,91
ENSMUSG00000006007,1
ENSMUSG00000006010,91
ENSMUSG00000006014,13
ENSMUSG00000006019,83
ENSMUSG00000006021,91
ENSMUSG00000006024,91
ENSMUSG00000006050,91
ENSMUSG00000006057,91
ENSMUSG00000006058,91
ENSMUSG00000006095,91
ENSMUSG00000006127,91
ENSMUSG00000006134,91
ENSMUSG00000006154,56
ENSMUSG00000006169,91
ENSMUSG00000006179,14
ENSMUSG00000006191,91
ENSMUSG00000006200,0
ENSMUSG00000006204,4
ENSMUSG00000006205,77
ENSMUSG00000006215,91
ENSMUSG00000006216,3
ENSMUSG00000006218,40
ENSMUSG00000006219,70
ENSMUSG00000006221,1
ENSMUSG00000006235,18
ENSMUSG00000006241,69
ENSMUSG00000006262,91
ENSMUSG00000006269,12
ENSMUSG00000006270,6
ENSMUSG00000006273,91
ENSMUSG00000006276,91
ENSMUSG00000006281,91
ENSMUSG00000006289,91
ENSMUSG00000006299,91
ENSMUSG00000006301,85
ENSMUSG00000006304,91
ENSMUSG00000006310,7
ENSMUSG00000006311,1
ENSMUSG00000006313,10
ENSMUSG00000006315,91
ENSMUSG00000006333,91
ENSMUSG00000006335,91
ENSMUSG00000006342,72
ENSMUSG00000006344,74
ENSMUSG00000006345,39
ENSMUSG00000006356,85
ENSMUSG00000006360,88
ENSMUSG00000006362,75
ENSMUSG00000006369,80
ENSMUSG00000006373,91
ENSMUSG00000006386,62
ENSMUSG00000006389,7
ENSMUSG00000006390,91
ENSMUSG00000006392,91
ENSMUSG00000006395,90
ENSMUSG00000006398,78
ENSMUSG00000006403,52
ENSMUSG00000006411,25
ENSMUSG00000006412,91
ENSMUSG00000006418,91
ENSMUSG00000006435,57
ENSMUSG00000006442,91
ENSMUSG00000006445,60
ENSMUSG00000006456,91
ENSMUSG00000006457,33
ENSMUSG00000006462,25
ENSMUSG00000006463,91
ENSMUSG00000006464,69
ENSMUSG00000006469,4
ENSMUSG00000006471,91
ENSMUSG00000006488,3
ENSMUSG00000006490,4
ENSMUSG00000006494,91
ENSMUSG00000006498,91
ENSMUSG00000006517,90
ENSMUSG00000006519,90
ENSMUSG00000006522,40
ENSMUSG00000006526,91
ENSMUSG00000006527,91
ENSMUSG00000006529,9
ENSMUSG00000006538,28
ENSMUSG00000006542,14
ENSMUSG00000006546,4
ENSMUSG00000006567,16
ENSMUSG00000006574,37
ENSMUSG00000006575,55
ENSMUSG00000006576,70
ENSMUSG00000006585,87
ENSMUSG00000006586,63
ENSMUSG00000006587,12
ENSMUSG00000006589,91
ENSMUSG00000006599,91
ENSMUSG00000006611,76
ENSMUSG00000006638,90
ENSMUSG00000006641,77
ENSMUSG00000006642,12
ENSMUSG00000006649,2
ENSMUSG00000006651,68
ENSMUSG00000006673,91
ENSMUSG00000006675,65
ENSMUSG00000006676,91
ENSMUSG00000006678,90
ENSMUSG00000006699,91
ENSMUSG00000006705,91
ENSMUSG00000006711,29
ENSMUSG00000006715,91
ENSMUSG00000006717,91
ENSMUSG00000006720,42
ENSMUSG00000006724,1
ENSMUSG00000006728,91
ENSMUSG00000006731,91
ENSMUSG00000006732,90
ENSMUSG00000006736,91
