"","sample","tissue","other","sampleGood","sizeFactor"
"sample163","counts.intestinal%20mucosa%2c%20adult.CNhs10506.860-29I3","intestinal mucosa","adult.CNhs10506.860-29I3","sample163",0.76902564155017
"sample164","counts.intestine%2c%20adult.CNhs10496.178-9A3","intestine","adult.CNhs10496.178-9A3","sample164",0.875898354415784
"sample165","counts.intestine%2c%20embryo%20E12.CNhs11019.1251-16I5","intestine","embryo E12.CNhs11019.1251-16I5","sample165",1.08317170167199
"sample166","counts.intestine%2c%20embryo%20E13.CNhs11010.381-16D5","intestine","embryo E13.CNhs11010.381-16D5","sample166",1.00422520312847
"sample167","counts.intestine%2c%20embryo%20E15.CNhs10602.976-16D8","intestine","embryo E15.CNhs10602.976-16D8","sample167",1.81379119046724
"sample168","counts.intestine%2c%20embryo%20E16.CNhs10585.463-22H4","intestine","embryo E16.CNhs10585.463-22H4","sample168",1.17442036166807
"sample169","counts.intestine%2c%20embryo%20E17.CNhs10582.482-18D3","intestine","embryo E17.CNhs10582.482-18D3","sample169",1.06085298289369
"sample170","counts.intestine%2c%20embryo%20E18.CNhs10526.1289-20F7","intestine","embryo E18.CNhs10526.1289-20F7","sample170",1.23644938394953
"sample171","counts.intestine%2c%20neonate%20N00.CNhs11126.644-26D1","intestine","neonate N00.CNhs11126.644-26D1","sample171",0.508657795219896
"sample172","counts.intestine%2c%20neonate%20N01.CNhs11192.1322-23E9","intestine","neonate N01.CNhs11192.1322-23E9","sample172",1.43438502581774
"sample173","counts.intestine%2c%20neonate%20N06.CNhs11102.688-20B8","intestine","neonate N06.CNhs11102.688-20B8","sample173",0.96784987025748
"sample174","counts.intestine%2c%20neonate%20N07.CNhs11095.720-20F2","intestine","neonate N07.CNhs11095.720-20F2","sample174",1.22979943345289
"sample175","counts.intestine%2c%20neonate%20N10.CNhs11098.755-23A5","intestine","neonate N10.CNhs11098.755-23A5","sample175",1.26538120199581
"sample176","counts.intestine%2c%20neonate%20N20.CNhs11187.827-18D1","intestine","neonate N20.CNhs11187.827-18D1","sample176",0.272148199346993
